Column1,Column2,Column3,Column4,Column5,Column6,Column7
POI,Priority = 5,Priority = 4,Priority = 3,Priority = 2,Priority = 1, Time
aaliveenakuthu waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
aanachadikuthu waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
aanachal kadavu,Scenic,Nature,Local Experiences,,,10:00-16:00
abhayaranyam kaprikkadu ecotourism,Nature,Eco-tourism,Adventure,,,08:00-17:00
adi shankara sthoopam temple,History and Culture,Architecture,Spiritual,,,07:00-19:00
alangad,Local Experiences,Nature,Scenic,,,10:00-16:00
aluva,Local Experiences,Shopping,,,,07:00-21:00
aluva sivarathri manappuram,History and Culture,Spiritual,Architecture,,,07:00-19:00
ameda temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
anayadikuthu waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
anchumana devi temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
andhakaranazhi beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
angamaly,Local Experiences,Shopping,,,,07:00-21:00
areekkal waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
aroor,Local Experiences,History and Culture,,,,07:00-19:00
aruvikuthu waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
aspinwall house,History and Culture,Architecture,Museum,,,09:00-17:00
athirappally waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
attayam chira,Scenic,Nature,Local Experiences,,,10:00-16:00
attutheeram river view,Scenic,Nature,Local Experiences,,,10:00-16:00
ayyappanmudi,Scenic,Nature,Local Experiences,,,10:00-16:00
backwaters of kochi,Scenic,Nature,Cruises,Local Experiences,Relaxation,08:00-17:00
basilica of our lady of ransom vallarpadam,History and Culture,Architecture,Spiritual,,,07:00-19:00
bastion bunglow,History and Culture,Architecture,Museum,,,09:00-17:00
bhoothathankettu,Scenic,Nature,Local Experiences,,,10:00-16:00
bhoothathankettu dam,Scenic,Nature,Local Experiences,,,10:00-16:00
bishop's house kochi,History and Culture,Architecture,Museum,,,09:00-17:00
bolgatty palace,History and Culture,Architecture,Museum,Scenic,,09:00-17:00
botanical park muvattupuzha,Nature,Scenic,Local Experiences,,,10:00-16:00
broadway ernakulam,Shopping,Local Experiences,,,,07:00-21:00
centre square mall,Shopping,Local Experiences,,,,09:00-21:00
chakki para view point,Scenic,Local Experiences,,,,10:00-16:00
chellanam beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
chendamangalam,History and Culture,Local Experiences,,,,07:00-19:00
cherai,Local Experiences,Beach,Scenic,,Relaxation,08:00-17:00
cherai beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
cheranallur,Local Experiences,Nature,Scenic,,,10:00-16:00
cheranelloor,Local Experiences,Nature,Scenic,,,10:00-16:00
chinese fishing nets,History and Culture,Local Experiences,Scenic,,,07:00-19:00
chittoor,Local Experiences,Nature,Scenic,,,10:00-16:00
chottanikkara devi temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
cochin port maritime heritage museum,History and Culture,Museum,Local Experiences,,,09:00-17:00
cochin shipyard,Local Experiences,History and Culture,,,,07:00-19:00
copt avenue walkway,Local Experiences,Scenic,,,,07:00-19:00
dutch palace,History and Culture,Architecture,Museum,,,09:00-17:00
edapally,Local Experiences,Shopping,,,,07:00-21:00
edappally church,History and Culture,Spiritual,Architecture,,,07:00-19:00
edayan lake,Scenic,Nature,Local Experiences,,,10:00-16:00
elamakkara,Local Experiences,Nature,Scenic,,,10:00-16:00
elamkunnapuzha beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
eloor,Local Experiences,Nature,Scenic,,,10:00-16:00
erappu waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
ernakulam,Local Experiences,Shopping,,,,07:00-21:00
ernakulam shiva temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
ezhattumugham waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
ezhumanthuruthu view point,Scenic,Local Experiences,,,,10:00-16:00
falcon beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
fort emmanuel,History and Culture,Architecture,,,,09:00-17:00
fort Kochi,History and Culture,Architecture,Local Experiences,Scenic,Shopping,09:00-18:00
fort kochi beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
forum mall kochi,Shopping,Local Experiences,,,,10:00-21:00
grey book museum,History and Culture,Museum,Local Experiences,,,09:00-17:00
hidumban mala,Scenic,Nature,Adventure,,,10:00-16:00
hill palace museum,History and Culture,Museum,Architecture,,,09:00-17:00
illithode waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
inchathotty suspension bridge,Scenic,Local Experiences,Adventure,,,10:00-16:00
indian naval maritime museum,History and Culture,Museum,Local Experiences,,,09:00-17:00
indo-portuguese museum,History and Culture,Museum,Architecture,,,09:00-17:00
infopark kochi,Local Experiences,Business,,,,09:00-17:00
iringole kavu temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
jain temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
jawaharlal nehru stadium,Local Experiences,Sports,,,,09:00-18:00
jew street mattancherry,History and Culture,Local Experiences,Shopping,,,09:00-18:00
jew town,History and Culture,Local Experiences,Shopping,,,09:00-18:00
jewish synagogue,History and Culture,Architecture,Spiritual,,,09:00-17:00
kadamakkudy islands,Scenic,Nature,Local Experiences,,,10:00-16:00
kadamattom church,History and Culture,Spiritual,Architecture,,,07:00-19:00
kadambrayar,Local Experiences,Nature,Scenic,,,10:00-16:00
kadavanthra,Local Experiences,Shopping,,,,07:00-21:00
kakkanad,Local Experiences,Business,,,,09:00-17:00
kakkanadu east,Local Experiences,Nature,Scenic,,,10:00-16:00
kakkanadu west,Local Experiences,Nature,Scenic,,,10:00-16:00
kakkante mala,Scenic,Nature,Adventure,,,10:00-16:00
kalady,History and Culture,Spiritual,Local Experiences,,,07:00-19:00
kalamassery,Local Experiences,Shopping,,,,07:00-21:00
kaloor,Local Experiences,Shopping,,,,07:00-21:00
kamalakadavu fort kochi,History and Culture,Architecture,Scenic,,,09:00-18:00
kandakkadavu view point,Scenic,Local Experiences,,,,10:00-16:00
kanjiramattom mosque,History and Culture,Spiritual,Architecture,,,07:00-19:00
kayanad rackad checkdam,Scenic,Nature,Local Experiences,,,10:00-16:00
kerala folklore museum,History and Culture,Museum,Local Experiences,,,09:00-17:00
kerala kathakali centre,Performing Arts,History and Culture,Local Experiences,,,10:00-17:00
kettezhthum kadavu,Scenic,Nature,Local Experiences,,,10:00-16:00
kizhakkambalam,Local Experiences,Nature,Scenic,,,10:00-16:00
kizhakombu kavu,History and Culture,Spiritual,Architecture,,,07:00-19:00
kochareekkal caves,Scenic,Nature,Adventure,,,10:00-16:00
kochi biennale,Art,Local Experiences,,,,10:00-18:00
kochi metro,Local Experiences,Transportation,,,,06:00-22:00
kochi water metro,Local Experiences,Transportation,Scenic,,,09:00-17:00
kodanad elephant training centre,Local Experiences,Nature,Wildlife,,,09:00-16:00
kodikuthimala,Scenic,Nature,Adventure,,,10:00-16:00
koonankurishu church,History and Culture,Spiritual,Architecture,,,07:00-19:00
koorumala,Scenic,Nature,Adventure,,,10:00-16:00
kothamangalam,Local Experiences,Nature,Scenic,,,10:00-16:00
kulippara waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
kumbalam,Local Experiences,Nature,Scenic,,,10:00-16:00
kumbalanghi,Local Experiences,Nature,Scenic,,,10:00-16:00
kundannoor,Local Experiences,Nature,Scenic,,,10:00-16:00
kuttippara waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
kuzhuppilly beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
lazza idrive,Local Experiences,Entertainment,,,,10:00-22:00
little flower church,History and Culture,Spiritual,Architecture,,,07:00-19:00
lulu mall,Shopping,Local Experiences,,,,10:00-22:00
malayattoor church,History and Culture,Spiritual,Architecture,,,07:00-19:00
mamalakandam view point,Scenic,Local Experiences,,,,10:00-16:00
manappattu chira,Scenic,Nature,Local Experiences,,,10:00-16:00
mangalathu kavu bhagavathi temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
mangalavanam bird sanctuary,Nature,Wildlife,Eco-tourism,,,07:00-17:00
maniyanthiram hill top,Scenic,Local Experiences,,,,10:00-16:00
maradu,Local Experiences,Nature,Scenic,,,10:00-16:00
marine drive,Scenic,Local Experiences,,,,09:00-19:00
marottichuvadu waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
mattancherry,History and Culture,Local Experiences,Shopping,,,09:00-18:00
mattancherry palace,History and Culture,Architecture,Museum,,,09:00-17:00
meekunnam waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
mellukuth waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
moolampilly islands,Scenic,Nature,Local Experiences,,,10:00-16:00
mulavukad,Local Experiences,Nature,Scenic,,,10:00-16:00
munambam beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
munippara waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
muniyara cave,Scenic,Nature,Adventure,,,10:00-16:00
museum of kerala history,History and Culture,Museum,Local Experiences,,,09:00-17:00
muvattupuzha,Local Experiences,Nature,Scenic,,,10:00-16:00
nadukani view point,Scenic,Local Experiences,,,,10:00-16:00
nakshathra vanam,Local Experiences,Entertainment,,,,18:00-22:00
national marine biodiversity museum,Museum,Local Experiences,Education,,,09:00-17:00
nedumbassery,Local Experiences,Transportation,,,,24 hours
nellappara waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
nettoor,Local Experiences,Nature,Scenic,,,10:00-16:00
njarackal arattuvazhi beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
north paravur,Local Experiences,Nature,Scenic,,,10:00-16:00
ooranattu chira,Scenic,Nature,Local Experiences,,,10:00-16:00
pachalam,Local Experiences,Nature,Scenic,,,10:00-16:00
padivattom,Local Experiences,Shopping,,,,07:00-21:00
palarivattom,Local Experiences,Shopping,,,,07:00-21:00
paliam palace,History and Culture,Architecture,Museum,,,09:00-17:00
pallikara,Local Experiences,Nature,Scenic,,,10:00-16:00
pallikkara church,History and Culture,Spiritual,Architecture,,,07:00-19:00
pallipuram fort,History and Culture,Architecture,,,,09:00-17:00
palluruthy,Local Experiences,Nature,Scenic,,,10:00-16:00
pampanal waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
panamkuzhy ecotourism,Nature,Eco-tourism,Adventure,,,10:00-16:00
panampilly nagar,Local Experiences,Shopping,,,,07:00-21:00
panampilly nagar central park,Nature,Scenic,Local Experiences,,,10:00-16:00
panangad,Local Experiences,Nature,Scenic,,,10:00-16:00
panangad jetty,Local Experiences,Transportation,Scenic,,,09:00-17:00
paniyeli poru,Scenic,Nature,Adventure,,,10:00-16:00
paradesi synagogue,History and Culture,Architecture,Spiritual,,,09:00-17:00
paravur,Local Experiences,Nature,Scenic,,,10:00-16:00
parikshit thampuram museum,History and Culture,Museum,Local Experiences,,,09:00-17:00
pavamkulangara devi temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
pazhangad beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
pazhoor,Local Experiences,Nature,Scenic,,,10:00-16:00
peechattu mala,Scenic,Nature,Adventure,,,10:00-16:00
perandoor view point,Scenic,Local Experiences,,,,10:00-16:00
periyar lake,Scenic,Nature,Local Experiences,,,10:00-16:00
perumbavoor,Local Experiences,Nature,Scenic,,,10:00-16:00
pettamala,Scenic,Nature,Adventure,,,10:00-16:00
pindimedu waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
poonithura,Local Experiences,Nature,Scenic,,,10:00-16:00
poyali mala,Scenic,Nature,Adventure,,,10:00-16:00
pulikkal paara,Scenic,Nature,Adventure,,,10:00-16:00
puliyanipara view point,Scenic,Local Experiences,,,,10:00-16:00
puliyanpara view point,Scenic,Local Experiences,,,,10:00-16:00
puthenthode beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
puthenvelikkara,Local Experiences,Nature,Scenic,,,10:00-16:00
puthuvype beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
puthuvype lighthouse beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
queens walkway,Local Experiences,Scenic,,,,09:00-19:00
rainbow hanging bridge,Scenic,Local Experiences,Adventure,,,10:00-16:00
river drive valanthakad,Scenic,Nature,Local Experiences,,,10:00-16:00
rosary park vallarpadam,Nature,Scenic,Local Experiences,,,10:00-16:00
santa cruz cathedral basilica,History and Culture,Architecture,Spiritual,,,07:00-19:00
science park kalamassery,Local Experiences,Education,,,,09:00-17:00
shoolam waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
sree murugan temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
sree poornathrayeesa temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
sreekrishna swamy temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
st. francis church,History and Culture,Spiritual,Architecture,,,07:00-19:00
streetscape panampilly nagar,Local Experiences,Scenic,,,,09:00-19:00
subhash bose park,Nature,Scenic,Local Experiences,,,10:00-16:00
synodal museum,History and Culture,Museum,Local Experiences,,,09:00-17:00
thamaramkulangara temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
thammanam,Local Experiences,Nature,Scenic,,,10:00-16:00
thattekkadu bird sanctuary,Nature,Wildlife,Eco-tourism,,,07:00-17:00
thattupara view point,Scenic,Local Experiences,,,,10:00-16:00
thevara ferry view point,Scenic,Local Experiences,Transportation,,,09:00-17:00
thirubali waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
thiruvankulam,Local Experiences,Nature,Scenic,,,10:00-16:00
thommankuthu waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
thonippara waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
thoppumpady,Local Experiences,Nature,Scenic,,,10:00-16:00
thrikkakara,Local Experiences,Nature,Scenic,,,10:00-16:00
thrikkakara Temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
thrikkariyoor temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
tripunithura,Local Experiences,History and Culture,,,,07:00-19:00
triveni sangamam,Scenic,Nature,Spiritual,,,10:00-16:00
vadattupara waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
vaduthala,Local Experiences,Nature,Scenic,,,10:00-16:00
vaikom lake walkway,Scenic,Nature,Local Experiences,,,10:00-16:00
vaikom mahadeva temple,History and Culture,Spiritual,Architecture,,,07:00-19:00
valanthakad river drive,Scenic,Nature,Local Experiences,,,10:00-16:00
valappu beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
valiyavattom island,Scenic,Nature,Local Experiences,,,10:00-16:00
vallarpadam church,History and Culture,Spiritual,Architecture,,,07:00-19:00
vandambra para,Scenic,Nature,Adventure,,,10:00-16:00
varapuzha,Local Experiences,Nature,Scenic,,,10:00-16:00
vasco da gama square,History and Culture,Local Experiences,,,,09:00-18:00
vazhachal waterfalls,Scenic,Nature,Adventure,,,10:00-16:00
vazhakkulam,Local Experiences,Nature,Scenic,,,10:00-16:00
veeranpuzha,Local Experiences,Nature,Scenic,,,10:00-16:00
vennala,Local Experiences,Nature,Scenic,,,10:00-16:00
vypeen Island,Scenic,Nature,Local Experiences,,,10:00-16:00
vypin,Local Experiences,Nature,Scenic,,,10:00-16:00
vypin beach,Beach,Scenic,Local Experiences,,Relaxation,08:00-17:00
vyttila,Local Experiences,Shopping,,,,07:00-21:00
willingdon Island,Scenic,Nature,Local Experiences,,,10:00-16:00
wonderla Kochi,Entertainment,Local Experiences,,,,10:00-18:00
